filename,time_taken
00051ef749eb4d13a1296a986f4892f4.jpeg,3.035
000a0c18-693b-45f7-9365-0d65258dcac3-1731752291135.jpeg,1.2127
000afbe9-d1af-4369-9bfb-5ab6217353c7-1731658141844.jpeg,2.5093
00249e3e-9ede-4663-b2e5-0a41286c11cf-1731657073409.jpeg,1.8899
00274acf-3e02-4413-8284-a4b4eaaa8a95-1731651770004.jpeg,2.0808
002ce43c-0e82-4fae-92fc-2d835ed874d6-1731657488202.jpeg,1.4727
0051c17b-84ac-43de-a15a-cfe5b88125a7-1731744030429.jpeg,1.3393
0054b18b-fa1c-43fa-873f-ad26f8b890e5-1731654898679.jpeg,0.4538
0075e90b-66b2-47b2-9b0a-6dc8308eeec7-1731738568260.jpeg,0.7055
007705ec-474a-447e-aee6-a191bcc0fa01-1731572174766.jpeg,1.1087
009902ed-6c80-4e32-bae2-969d4ed3d4e6-1731646667826.jpeg,1.1345
00cde3ca-37ca-47af-9d07-02f6a22c9911-1731651165769.jpeg,1.4107
00f9dc3a-12f5-4234-88d0-4d667d248636-1731749677791.jpeg,1.6425
00fa1725-d8e2-42fc-9fec-cf02e2ac1ab6-1731742208884.jpeg,1.071
01294aa3-ffec-4428-9f14-50b4e5273be6-1731562304237.jpeg,0.9137
0146ae48-d496-44a7-9aaa-9192f10bcb33-1731575851722.jpeg,1.1241
01f7c347-f43c-4737-8251-77583a225cc2-1731565794688.jpeg,1.2912
0252b111-0b29-45a8-a0d7-60205e07876e-1731571894114.jpeg,1.0972
027350c8-1a4f-4404-b5fe-f80977091f09-1731562127095.jpeg,1.2986
02a4594376f89726595bf7d2303999a9.jpg,1.3565
02c07fb6-b160-43b6-8cf2-c8159c1ce444-1731570952461.jpeg,1.1041
02d4d467-bbdc-4daa-a70a-79a4f9ac2532-1731668007347.jpeg,1.3014
0304fc9e-7950-456c-a22f-98874f4fb510-1731737577974.jpeg,1.6091
032f2f6d-41da-44b7-90e5-efa20ce8d636-1731654345263.jpeg,1.0495
